root,source,direct_files,recursive_files,direct_bytes,proposed,status,reason
Garçons (Gelbooru),Styles vestimentaires/suit,5,5,702526,Styles vestimentaires/suit,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Swimsuits,0,3,0,Styles vestimentaires/Swimsuits,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Swimsuits/bikini,2,3,415675,Styles vestimentaires/Swimsuits/bikini,keep,déjà sous une famille structurée
Garçons (Gelbooru),Styles vestimentaires/Swimsuits/bikini/micro_bikini,1,1,684758,Styles vestimentaires/Swimsuits/bikini/micro_bikini,keep,déjà sous une famille structurée
Garçons (Gelbooru),tattoo,8,8,1282885,tattoo,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),teacher,1,1,69147,teacher,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),trap,99,117,31411672,trap,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/anon omoi_ryuugi,3,3,955697,trap/anon omoi_ryuugi,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/blue_lock,0,1,0,trap/blue_lock,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/blue_lock/chigiri_hyoma,1,1,720835,trap/blue_lock/chigiri_hyoma,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/fate_(series),0,2,0,trap/fate_(series),keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/fate_(series)/oberon_(fate),2,2,416857,trap/fate_(series)/oberon_(fate),keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/fire_emblem,0,1,0,trap/fire_emblem,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/fire_emblem/ares_(fire_emblem) seliph_(fire_emblem),1,1,399430,trap/fire_emblem/ares_(fire_emblem) seliph_(fire_emblem),keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/genshin_impact,0,1,0,trap/genshin_impact,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/genshin_impact/kaveh_(genshin_impact),1,1,123201,trap/genshin_impact/kaveh_(genshin_impact),keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/kanna_(blue_archive) kanna_(swimsuit)_(blue_archive),1,1,77415,trap/kanna_(blue_archive) kanna_(swimsuit)_(blue_archive),keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/monark,0,3,0,trap/monark,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/monark/anon shinya_yuda,1,1,470635,trap/monark/anon shinya_yuda,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/monark/shinya_yuda,2,2,655945,trap/monark/shinya_yuda,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),trap/nige_jouzu_no_wakagimi,0,1,0,trap/nige_jouzu_no_wakagimi,keep,reste à la racine comme dans la galerie Tags
